FD5, 361.00, 7.89, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$64, 228.85, 91.28, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$640, 151.37, 70.87, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$641, 142.44, 102.74, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$642, 141.79, 91.30, 270.00, 0603-1U-CAP, 0603
U$643, 151.35, 111.72, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$644, 137.75, 91.30, 225.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$645, 145.45, 91.29, 225.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$646, 153.14, 91.30, 225.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$647, 160.83, 91.29, 225.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$648, 170.37, 80.53, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$649, 170.80, 101.93, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$65, 221.15, 91.29, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$650, 168.51, 91.30, 225.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$651, 170.63, 91.25, 270.00, 0603-1U-CAP, 0603
U$652, 176.27, 91.23, 225.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$653, 114.68, 77.76, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$656, 138.79, 8.86, 330.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$657, 135.30, 14.90, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$66, 213.46, 91.28, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$67, 205.77, 91.29, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$68, 196.23, 102.05, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$69, 195.80, 80.65, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$70, 198.09, 91.28, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$71, 195.97, 91.33, 90.00, 0603-1U-CAP, 0603
U$72, 190.33, 91.35, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$73, 251.92, 104.82, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
