U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1444, 56.49, 52.10, 0.00, 3512-LED, 3512-LED
U$1445, 56.51, 45.90, 180.00, 3512-LED, 3512-LED
U$1446, 47.70, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1448, 47.69, 52.10, 0.00, 3512-LED, 3512-LED
U$1449, 47.71, 45.90, 180.00, 3512-LED, 3512-LED
U$145, 100.51, 9.90, 180.00, 3512-LED, 3512-LED
U$1450, 38.90, 47.40, 180.00, 0603-1U-CAP, 0603
U$1451, 38.90, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1453, 38.89, 52.10, 0.00, 3512-LED, 3512-LED
U$1454, 38.91, 45.90, 180.00, 3512-LED, 3512-LED
U$1455, 30.10, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1457, 30.09, 52.10, 0.00, 3512-LED, 3512-LED
U$1458, 30.11, 45.90, 180.00, 3512-LED, 3512-LED
U$1459, 21.30, 47.40, 180.00, 0603-1U-CAP, 0603
U$146, 91.70, 11.40, 180.00, 0603-1U-CAP, 0603
U$1460, 21.30, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1462, 21.29, 52.10, 0.00, 3512-LED, 3512-LED
U$1463, 21.31, 45.90, 180.00, 3512-LED, 3512-LED
U$1464, 12.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1466, 12.49, 52.10, 0.00, 3512-LED, 3512-LED
U$1467, 12.51, 45.90, 180.00, 3512-LED, 3512-LED
U$147, 91.70, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$149, 91.69, 16.10, 0.00, 3512-LED, 3512-LED
U$150, 91.71, 9.90, 180.00, 3512-LED, 3512-LED
U$151, 82.90, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$153, 82.89, 16.10, 0.00, 3512-LED, 3512-LED
U$154, 82.91, 9.90, 180.00, 3512-LED, 3512-LED
U$155, 74.10, 11.40, 180.00, 0603-1U-CAP, 0603
U$156, 74.10, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$158, 74.09, 16.10, 0.00, 3512-LED, 3512-LED
U$159, 74.11, 9.90, 180.00, 3512-LED, 3512-LED
