C1, 1.10, -59.16, 180.00, 22u, 0603
U$483, 101.22, -11.81, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$484, 93.24, -9.02, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$485, 85.25, -6.92, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$486, 99.66, -20.13, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$487, 97.03, -14.22, 120.00, 0603-1U-CAP, 0603
U$488, 97.46, -28.11, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$489, 94.40, -15.75, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$490, 87.58, -19.68, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$491, 80.78, -23.61, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$492, 73.31, -20.53, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$493, 65.30, -18.44, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$494, 79.73, -31.64, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$495, 77.53, -39.62, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$496, 76.40, -26.14, 120.00, 0603-1U-CAP, 0603
U$497, 73.96, -27.54, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$498, 67.14, -31.48, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$5, -6.40, -29.13, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$517, 114.83, 3.95, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$518, 108.01, 7.88, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$519, 101.22, 11.81, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$520, 99.64, 20.11, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$521, 97.47, 28.08, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
